Substitutions
Document ID,container,root_id,ontology_base,htitle,error,root,citegroup,hcontainer_text,milestone,inline,container_ext,hcontainer,cite_target,cite,block
BWBV0004625,138,0,0,44,0,0,0,0,0,98,0,44,0,0,264
BWBR0011823,594,0,0,178,0,0,0,0,0,821,0,178,0,0,1112
Corrections
Document ID,gegenereerde-tekst,deze,titel,colspec,naam,nadruk,politiek,citeertitel,organisatie,inf,datum-ratificatie,afk,alias-titel,nootref,eerst-verantwoordelijk,label,noot,dfn,eg-richtlijn,in-afschrift-aan,sup,grondslag,omissie,indexterm,subtitel # was htitle,divisie,artikel,voorlopigetoepassing.datum,vertaald-door,achternaam,spanspec,voornaam,noot.al,nr,ovl,vertaling-van,illustratie,materiele-uitwerkingtreding.datum,redactie,ref-item,functie,aan-wie,cit,aanhaling,unl,tekstcorrectie
BWBV0004625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BWBR0011823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
